file_index,file_type,source_language,destination_language
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,これはテスト用です。,Тест.
0,MSGDATA,色変化の$A6テスト用$Rです。,Тест $A6изменения$R цвета.
0,MSGDATA,ボタン表示$P0$P1$P2$P3$P4,Тест кнопки$P0$P1$P2$P3$P4
0,MSGDATA,$NONE,$NONE
0,MSGDATA,仮文字列⑤⑥⑦⑧⑨⑩,Временная строка⑤⑥⑦⑧⑨⑩
0,MSGDATA,SMESが見つかりませんでした,SMES не найден
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
0,MSGDATA,$NONE,$NONE
